title,year,rating,director,stars
Warkop DKI Reborn 3,2019,4.0,Rako Prijanto,"Aliando Syarief,Adipati Dolken,Randy Nidji"
Pintu Terlarang,2009,6.8,Joko Anwar,"Fachry Albar,Marsha Timothy,Ario Bayu"
What's Up with Cinta?,2002,7.7,Rudy Soedjarwo,"Dian Sastrowardoyo,Nicholas Saputra,Ladya Cheryl"
Anak Garuda,2020,8.7,Faozan Rizal,"Tissa Biani Azzahra,Violla Georgie,Ajil Ditto"
Tarung Sarung,2020,5.9,Archie Hekagery,"Panji Zoni,Yayan Ruhian,Maizura"
The Raid: Redemption,2011,7.6,Gareth Evans,"Iko Uwais,Ananda George,Ray Sahetapy"
Java Heat,2013,5.1,Conor Allyn,"Kellan Lutz,Verdi Solaiman,Mickey Rourke"
Sabrina,2018,4.2,Rocky Soraya,"Luna Maya,Christian Sugiono,Sara Wijayanto"
18+: True Love Never Dies,2010,4.9,Nayato Fio Nuala,"Arumy Bachsin,Rangga Djoned,Adipati Dolken"
Under the Age,2020,5.0,Emil Heradi,"Angga Yunanda,Yoriko Angeline,Shenina Cinnamon"
Satria Dewa: Gatotkaca,2021,,Hanung Bramantyo,"Yayan Ruhian,Cecep Arif Rahman,Jerome Kurnia"
Kafir: Bersekutu dengan Setan,2018,6.9,Azhar Kinoi Lubis,"Putri Ayudya,Sujiwo Tejo,Indah Permatasari"
Critical Eleven,2017,7.3,Robert Ronny,"Reza Rahadian,Adinia Wirasti,Slamet Rahardjo"
Dead Mine,2012,4.5,Steven Sheil,"Miki Mizuno,Sam Hazeldine,Ario Bayu"
Asih 2,2020,8.4,Rizal Mantovani,"Shareefa Daanish,Marsha Timothy,Ario Bayu"
This Earth of Mankind,2019,6.6,Hanung Bramantyo,"Iqbaal Dhiafakhri Ramadhan,Mawar Eva de Jongh,Sha Ine Febriyanti"
Hit & Run,2019,6.3,Ody C. Harahap,"Joe Taslim,Chandra Liow,Tatjana Saphira"
